YEAR,DOY,srad,tmax,tmin,rain
2025,91,19.67,19.33,10.09,0.1
2025,92,22.34,20.68,7.2,0.08
2025,93,25.12,24.79,7.9,0.12
2025,94,21.71,20.3,9.76,0.04
2025,95,23.67,20.76,8.21,0.02
2025,96,23.74,21.02,8.05,0.08
2025,97,25.62,25.83,9.87,0.05
2025,98,25.6,30.17,11.52,0.0
2025,99,10.88,26.25,13.08,0.31
2025,100,14.28,25.58,13.87,0.12
2025,101,16.19,24.86,13.96,3.59
2025,102,10.6,21.33,12.1,15.53
2025,103,19.84,16.28,10.45,10.29
2025,104,22.18,19.84,9.02,1.45
2025,105,14.1,15.92,7.24,3.7
2025,106,27.27,17.86,5.1,0.21
2025,107,26.94,24.55,7.17,0.0
2025,108,24.06,25.97,11.7,0.03
2025,109,19.84,20.79,8.78,0.09
2025,110,26.8,18.42,7.52,0.11
2025,111,28.84,24.8,7.53,0.0
2025,112,28.66,24.62,9.23,0.01
2025,113,23.44,29.37,11.99,0.05
2025,114,20.28,30.59,13.02,0.65
2025,115,21.62,24.78,12.85,0.68
2025,116,28.38,26.83,11.39,0.01
2025,117,28.49,30.31,13.29,0.0
2025,118,27.89,32.46,14.11,0.0
2025,119,25.07,26.98,12.67,0.01
2025,120,18.45,23.61,10.18,0.03
2025,121,28.07,29.24,10.82,0.36
2025,122,28.66,25.06,9.0,0.01
2025,123,23.64,22.32,10.47,0.06
2025,124,27.4,23.35,10.09,0.13
2025,125,28.24,23.51,8.7,0.07
2025,126,21.56,24.07,9.43,0.0
2025,127,28.92,26.38,12.44,0.0
2025,128,24.33,22.26,9.53,0.2
2025,129,24.6,25.26,9.89,0.01
2025,130,26.89,23.45,11.33,0.0
2025,131,21.94,22.45,9.76,0.37
2025,132,27.13,25.24,10.73,0.07
2025,133,18.62,17.87,9.8,2.84
2025,134,19.24,19.64,9.01,1.88
2025,135,31.01,24.19,7.24,0.03
2025,136,30.15,28.56,10.43,0.0
2025,137,27.91,32.09,14.71,0.0
2025,138,27.13,31.25,13.76,0.0
2025,139,28.33,29.79,14.19,0.0
2025,140,29.21,30.03,13.46,0.0
2025,141,27.6,30.04,15.23,0.11
2025,142,28.93,24.42,13.76,0.23
2025,143,29.96,28.16,13.5,0.03
2025,144,30.55,31.13,13.0,0.01
2025,145,28.48,32.83,16.82,0.05
2025,146,25.27,34.59,18.81,0.84
2025,147,25.16,31.29,17.95,0.7
2025,148,22.91,31.97,18.17,0.31
2025,149,21.14,33.84,19.75,1.41
2025,150,21.92,34.87,20.77,0.06
2025,151,29.09,36.46,18.83,0.0
2025,152,29.9,36.12,18.21,0.0
2025,153,31.04,33.56,16.4,0.0
2025,154,27.75,29.22,13.37,0.0
2025,155,28.46,28.68,12.22,0.0
2025,156,29.08,33.87,14.28,0.0
2025,157,28.04,37.12,18.89,0.0
2025,158,26.17,38.03,21.19,0.0
2025,159,28.13,39.92,20.21,0.0
2025,160,23.27,38.41,21.11,0.0
2025,161,23.89,37.95,21.31,0.06
2025,162,29.09,34.45,18.22,0.0
2025,163,29.45,34.54,17.19,0.0
2025,164,28.06,35.4,16.65,0.0
2025,165,23.26,36.02,17.24,0.0
2025,166,21.55,35.9,20.39,0.16
2025,167,25.32,38.63,21.95,2.16
2025,168,26.65,39.04,21.59,3.71
2025,169,24.93,36.69,21.91,0.69
2025,170,25.65,35.97,21.43,0.39
2025,171,28.24,39.19,22.31,0.0
2025,172,28.75,38.19,22.15,0.0
2025,173,28.07,39.6,22.03,0.01
2025,174,26.56,38.11,20.7,0.01
2025,175,28.74,37.31,19.64,0.01
2025,176,28.49,37.95,19.91,0.53
2025,177,25.14,39.13,22.91,2.68
2025,178,21.88,39.51,22.04,0.49
2025,179,28.63,40.82,23.55,0.08
2025,180,27.95,41.34,23.72,0.0
2025,181,28.2,40.71,24.96,0.0
2025,182,28.61,41.01,24.28,0.03
2025,183,29.58,40.19,23.33,0.12
2025,184,29.47,40.87,24.48,0.07
2025,185,30.92,39.98,24.24,0.02
2025,186,29.94,38.18,21.56,0.0
2025,187,29.38,37.2,19.8,0.0
2025,188,29.79,39.08,21.97,0.0
2025,189,27.8,41.82,23.73,0.15
2025,190,24.05,39.78,25.73,0.21
2025,191,28.62,40.0,24.26,0.0
2025,192,30.17,35.26,20.58,0.0
2025,193,31.38,32.99,16.36,0.0
2025,194,29.73,36.35,18.03,0.0
2025,195,29.29,39.39,18.99,0.0
2025,196,27.57,41.64,24.7,0.0
2025,197,28.65,41.97,26.56,0.0
2025,198,29.36,41.54,26.12,0.0
2025,199,29.38,39.28,23.38,0.0
2025,200,29.13,37.75,20.0,0.0
2025,201,28.84,37.37,20.85,0.0
2025,202,28.16,38.53,20.07,0.0
2025,203,27.74,37.48,21.18,0.0
2025,204,28.35,38.58,20.51,0.0
2025,205,24.39,39.3,21.15,0.0
2025,206,26.91,42.68,24.29,1.45
2025,207,28.69,40.61,23.63,0.0
2025,208,29.09,40.49,25.28,1.08
2025,209,29.06,39.46,24.05,0.0
2025,210,28.97,37.8,22.16,4.14
2025,211,28.84,38.72,21.83,0.0
2025,212,28.6,39.0,23.14,0.0
2025,213,27.82,40.81,24.15,0.0
2025,214,26.33,42.2,24.74,0.05
2025,215,22.37,40.06,22.6,0.2
2025,216,23.79,40.07,23.36,0.08
2025,217,24.42,42.33,25.36,0.06
2025,218,25.68,39.6,24.92,0.03
2025,219,25.91,40.25,24.99,0.37
2025,220,27.59,39.11,23.69,0.0
2025,221,27.78,40.26,24.23,0.0
2025,222,28.3,40.96,23.97,0.0
2025,223,28.51,41.67,24.07,0.0
2025,224,27.61,41.24,24.68,0.0
2025,225,28.0,40.07,23.49,0.0
2025,226,26.92,42.11,23.22,0.0
2025,227,23.98,41.56,24.21,0.09
2025,228,24.12,40.89,25.83,0.03
2025,229,25.9,41.86,24.7,0.0
2025,230,25.65,41.26,25.0,0.01
2025,231,26.65,38.98,23.5,0.0
2025,232,27.64,37.15,21.28,0.0
2025,233,27.99,37.98,21.06,0.0
2025,234,21.29,39.63,23.05,0.0
